band_id,lane,position_px,size_bp,rf_value,is_ladder
B24,1,226,3348.058251189578,0.4143763213530655,False
B25,1,349,593.0410626315014,0.6744186046511628,False
B26,1,442,160.22120672283606,0.8710359408033826,False
B27,2,226,3348.058251189578,0.4143763213530655,False
B28,2,360,507.99428345336696,0.6976744186046512,False
B29,2,445,153.59803191670346,0.8773784355179705,False
B9,3,154,10000.0,0.26215644820295986,True
B10,3,168,8000.0,0.2917547568710359,True
B11,3,185,6000.0,0.3276955602536998,True
B1,3,196,5000.0,0.35095137420718814,True
B2,3,209,4000.0,0.3784355179704017,True
B3,3,228,3000.0,0.4186046511627907,True
B4,3,256,2000.0,0.47780126849894294,True
B5,3,281,1500.0,0.5306553911205074,True
B6,3,304,1200.0,0.5792811839323467,True
B7,3,317,1000.0,0.6067653276955602,True
B30,4,225,3395.505627423436,0.41226215644820297,False
B31,4,361,500.89578369032847,0.6997885835095138,False
B32,4,447,149.335394240376,0.8816067653276956,False
B33,5,224,3443.62540937505,0.41014799154334036,False
B34,5,362,493.8964753956335,0.7019027484143763,False
B35,5,447,149.335394240376,0.8816067653276956,False
